1;Rhea americana;Ñandú;Greater Rhea;Rheidae
2;Rhea pennata;Choique;Lesser Rhea;Rheidae
3;Tinamus solitarius;Macuco;Solitary Tinamou;Tinamidae
4;Crypturellus obsoletus ;Tataupá rojizo;Brown Tinamou;Tinamidae
5;Crypturellus undulatus;Tataupá listado;Undulated Tinamou;Tinamidae
6;Crypturellus parvirostris;Tataupá chico;Small-billed Tinamou;Tinamidae
7;Crypturellus tataupa;Tataupá común;Tataupa Tinamou;Tinamidae
8;Rhynchotus rufescens;Colorada;Red-winged Tinamou;Tinamidae
9;Rhynchotus maculicollis;Guaipo;Huayco Tinamou;Tinamidae
10;Nothoprocta ornata;Inambú serrano;Ornate Tinamou;Tinamidae
11;Nothoprocta cinerascens;Inambú montaraz;Brushland Tinamou;Tinamidae
12;Nothoprocta pentlandii;Inambú silbón;Andean Tinamou;Tinamidae
13;Nothura darwinii;Inambú pálido;Darwin's Nothura;Tinamidae
14;Nothura maculosa;Inambú común;Spotted Nothura;Tinamidae
15;Eudromia elegans;Martineta común;Elegant Crested-Tinamou;Tinamidae
16;Eudromia formosa;Martineta chaqueña;Quebracho Crested-Tinamou;Tinamidae
17;Tinamotis pentlandii;Quiula puneña;Puna Tinamou;Tinamidae
18;Tinamotis ingoufi;Quiula patagónica;Patagonian Tinamou;Tinamidae
19;Chauna torquata;Chajá;Southern Screamer;Anhimidae
20;Dendrocygna bicolor;Sirirí colorado;Fulvous Whistling-Duck;Anatidae
21;Dendrocygna viduata;Sirirí pampa;White-faced Whistling-Duck;Anatidae
22;Dendrocygna autumnalis;Sirirí vientre negro;Black-bellied Whistling-Duck;Anatidae
23;Anser anser;Ganso doméstico;Graylag Goose;Anatidae
24;Cygnus melancoryphus;Cisne cuello negro;Black-necked Swan;Anatidae
25;Coscoroba coscoroba;Coscoroba;Coscoroba Swan;Anatidae
26;Oressochen jubatus;Ganso de monte;Orinoco Goose;Anatidae
27;Oressochen melanopterus;Guayata;Andean Goose;Anatidae
28;Chloephaga picta;Cauquén común;Upland Goose;Anatidae
29;Chloephaga hybrida;Caranca;Kelp Goose;Anatidae
30;Chloephaga poliocephala;Cauquén real;Ashy-headed Goose;Anatidae
31;Chloephaga rubidiceps;Cauquén colorado;Ruddy-headed Goose;Anatidae
32;Cairina moschata;Pato real;Muscovy Duck;Anatidae
33;Sarkidiornis sylvicola;Pato crestudo;Comb Duck;Anatidae
34;Callonetta leucophrys;Pato de collar;Ringed Teal;Anatidae
35;Amazonetta brasiliensis;Pato cutirí;Brazilian Teal;Anatidae
36;Merganetta armata;Pato de torrente;Torrent Duck;Anatidae
37;Tachyeres patachonicus;Quetro volador;Flying Steamer-Duck;Anatidae
38;Tachyeres pteneres;Quetro austral;Flightless Steamer-Duck;Anatidae
39;Tachyeres trachypterus;Quetro malvinero;Falkland Steamer-Duck;Anatidae
40;Tachyeres leucocephalus;Quetro cabeza blanca;White-headed Steamer-Duck;Anatidae
41;Lophonetta specularioides;Pato crestón;Crested Duck;Anatidae
42;Speculanas specularis;Pato de anteojos;Spectacled Duck;Anatidae
43;Mareca sibilatrix;Pato overo;Chiloe Wigeon;Anatidae
44;Anas flavirostris;Pato barcino;Yellow-billed Teal;Anatidae
45;Anas georgica;Pato maicero;Yellow-billed Pintail;Anatidae
46;Anas bahamensis;Pato gargantilla;White-cheeked Pintail;Anatidae
47;Spatula puna;Pato puneño;Puna Teal;Anatidae
48;Spatula versicolor;Pato capuchino;Silver Teal;Anatidae
49;Spatula discors;Pato media luna;Blue-winged Teal;Anatidae
50;Spatula cyanoptera;Pato colorado;Cinnamon Teal;Anatidae
51;Heteronetta atricapilla;Pato cabeza negra;Black-headed Duck;Anatidae
52;Oxyura ferruginea;Pato cuchara;Red Shoveler;Anatidae
53;Anas clypeata;Pato cuchara boreal;Northern Shoveler;Anatidae
54;Netta erythrophthalma;Pato castaño;Southern Pochard;Anatidae
55;Netta peposaca;Pato picazo;Rosy-billed Pochard;Anatidae
56;Mergus octosetaceus;Pato serrucho;Brazilian Merganser;Anatidae
57;Nomonyx dominicus;Pato fierro;Masked Duck;Anatidae
58;Oxyura ferruginea;Pato zambullidor grande;Ruddy Duck;Anatidae
59;Oxyura vittata;Pato zambullidor chico;Lake Duck;Anatidae
60;Penelope superciliaris;Yacupoí;Rusty-margined Guan;Cracidae
61;Penelope dabbenei;Pava de monte alisera;Red-faced Guan;Cracidae
62;Penelope obscura;Pava de monte común;Dusky-legged Guan;Cracidae
63;Pipile jacutinga;Yacutinga;Black-fronted Piping-Guan;Cracidae
64;Ortalis canicollis;Charata;Chaco Chachalaca;Cracidae
65;Crax fasciolata;Muitú;Bare-faced;Cracidae
66;Callipepla californica;Codorniz de California;California Quail;Odontophoridae
67;Odontophorus capueira;Urú;Spot-winged Wood-Quail;Odontophoridae
68;Lophura nycthemeia;Faisán plateado;Silver Pheasant 1;Phasianidae
69;Rollandia rolland;Macá común;White-tufted Grebe;Podicipedidae
70;Tachybaptus dominicus;Macá gris;Least Grebe;Podicipedidae
71;Podilymbus podiceps;Macá pico grueso;Pied-billed Grebe;Podicipedidae
72;Podiceps major;Macá grande;Great Grebe;Podicipedidae
73;Podiceps occipitalis;Macá plateado;Silvery Grebe;Podicipedidae
74;Podiceps juninensis;Macá andino;Northern Silvery Grebe;Podicipedidae
75;Podiceps gallardoi;Macá tobiano;Hooded Grebe;Podicipedidae
76;Phoenicopterus chilensis;Flamenco austral;Chilean Flamingo;Phoenicopteridae
77;Phoenicoparrus andinus;Parina grande;Andean Flamingo;Phoenicopteridae
78;Phoenicoparrus jamesi;Parina chica;James's Flamingo;Phoenicopteridae
79;Aptenodytes patagonicus;Pingüino rey;King Penguin;Spheniscidae
80;Aptenodytes forsteri;Pingüino emperador;Emperor Penguin;Spheniscidae
81;Pygoscelis papua;Pingüino de vincha;Gentoo Penguin;Spheniscidae
82;Pygoscelis antarcticus;Pingüino de barbijo;Chinstrap Penguin;Spheniscidae
83;Pygoscelis adelie;Pingüino ojo blanco;Adelie Penguin;Spheniscidae
84;Spheniscus magellanicus;Pingüino patagónico;Magellanic Penguin;Spheniscidae
85;Eudyptes chrysolophus;Pingüino frente dorada;Macaroni Penguin;Spheniscidae
86;Eudyptes chrysocome;Pingüino penacho amarillo;Rockhopper Penguin;Spheniscidae
87;Diomedea epomophora;Albatros real;Royal Albatross;Diomedeidae
88;Diomedea exulans;Albatros errante;Wandering Albatross;Diomedeidae
89;Diomedea dabbenena;Albatros de Tristán;Tristan Albatross;Diomedeidae
90;Diomedea sanfordi;Albatros real del norte;Northern Royal Albatross;Diomedeidae
91;Phoebetria fusca;Albatros oscuro;Sooty Albatross;Diomedeidae
92;Phoebetria palpebrata;Albratros manto claro;Light-mantled Albatross;Diomedeidae
93;Thalassarche chlororhynchos;Albatros pico fino;Yellow-nosed Albatross;Diomedeidae
94;Thalassarche melanophris;Albatros ceja negra;Black-browed Albatross;Diomedeidae
95;Thalassarche chrysostoma;Albatros cabeza gris;Gray-headed Albatross;Diomedeidae
96;Thalassarche bulleri;Albatros del Pacífico;Buller's Albatross;Diomedeidae
97;Thalassarche cauta;Albatros corona blanca;White-capped Albatross;Diomedeidae
98;Macronectes giganteus;Petrel gigante común;Southern Giant-Petrel;Procellariidae
